date,count,uniques
2026-06-03,70,29
2026-06-04,106,37
2026-06-05,96,43
2026-06-06,49,22
2026-06-07,47,20
2026-06-08,68,40
2026-06-09,99,45
2026-06-10,115,36
2026-06-11,69,30
2026-06-12,122,41
2026-06-13,73,31
2026-06-14,71,27
2026-06-15,128,41
2026-06-16,91,36
2026-06-17,102,39
2026-06-18,81,33
2026-06-19,37,22
2026-06-20,59,29
2026-06-21,50,25
2026-06-22,83,41
2026-06-23,52,28
2026-06-24,96,39
2026-06-25,59,31
2026-06-26,64,35
2026-06-27,129,48
2026-06-28,155,73
2026-06-29,253,120
2026-06-30,321,144
2026-07-01,446,159
2026-07-02,265,113
2026-07-03,463,184
2026-07-04,351,136
2026-07-05,377,141
2026-07-06,189,105
2026-07-07,175,98
2026-07-08,218,111
2026-07-09,347,123
2026-07-10,258,109
